"","LambAugWeight","Sur1","ID","Sex","Twin","jdateMC","PopDensMC","birthjdateMC","BirthYear"
"4608",14.2,1,7667,1,1,2.03162055335969,-84.2450592885376,-0.407760141093476,1991
"4632",13.9,1,1487,1,1,4.03162055335969,-84.2450592885376,2.59223985890652,1991
"5214",15,1,6873,1,1,4.03162055335969,-63.2450592885376,-0.407760141093476,1994
"4565",13.2,1,7850,1,1,2.03162055335969,-84.2450592885376,-6.40776014109348,1991
"5001",10.8,1,1845,1,1,2.03162055335969,-55.2450592885376,-0.407760141093476,1993
"4809",7.4,1,10864,1,1,-0.968379446640313,-177.245059288538,1.59223985890652,1992
"5073",12.3,1,6965,1,1,3.03162055335969,-55.2450592885376,3.59223985890652,1993
"5205",9.3,1,1638,1,1,4.03162055335969,-63.2450592885376,-0.407760141093476,1994
"5385",8.5,1,9185,1,1,1.03162055335969,-141.245059288538,6.59223985890652,1995
"5609",11.9,1,2067,1,1,1.03162055335969,76.7549407114624,5.59223985890652,1996
"4575",12.4,1,6373,1,1,2.03162055335969,-84.2450592885376,-4.40776014109348,1991
"4740",10.6,1,6199,1,1,1.03162055335969,-177.245059288538,-5.40776014109348,1992
"4811",11,1,10168,1,1,-0.968379446640313,-177.245059288538,-5.40776014109348,1992
"4920",12.6,1,13856,1,1,1.03162055335969,-55.2450592885376,-6.40776014109348,1993
"5241",14.7,1,9056,1,1,4.03162055335969,-63.2450592885376,-10.4077601410935,1994
"5835",11.5,1,13224,1,1,-2.96837944664031,43.7549407114624,1.59223985890652,1997
